pair_id,name_1,name_2,canonical_1,canonical_2,entity_type,label,pair_source,confidence,note
WP_POS_0001,Potato virus Y,Potato virus Y (PVY),potato virus y,potato virus y (pvy,Disease,1,wikipedia_Potato_virus_Y,0.9,Bold-text synonyms from Wikipedia:Potato_virus_Y
WP_POS_0002,Wheat streak mosaic virus,WSMV,wheat streak mosaic virus,wsmv,Disease,1,wikipedia_Wheat_streak_mosaic_virus,0.9,Bold-text synonyms from Wikipedia:Wheat_streak_mosaic_virus
WP_POS_0003,Stem rust,cereal rust,stem rust,cereal rust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0004,Stem rust,black rust,stem rust,black rust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0005,Stem rust,red rust,stem rust,red rust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0006,Stem rust,red dust,stem rust,red dust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0007,Stem rust,''Puccinia graminis,stem rust,puccinia graminis,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0008,cereal rust,black rust,cereal rust,black rust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0009,cereal rust,red rust,cereal rust,red rust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0010,cereal rust,red dust,cereal rust,red dust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0011,cereal rust,''Puccinia graminis,cereal rust,puccinia graminis,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0012,black rust,red rust,black rust,red rust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0013,black rust,red dust,black rust,red dust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0014,black rust,''Puccinia graminis,black rust,puccinia graminis,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0015,red rust,red dust,red rust,red dust,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0016,red rust,''Puccinia graminis,red rust,puccinia graminis,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0017,red dust,''Puccinia graminis,red dust,puccinia graminis,Disease,1,wikipedia_Stem_rust,0.9,Bold-text synonyms from Wikipedia:Stem_rust
WP_POS_0018,Northern corn leaf blight,Turcicum leaf blight,northern corn leaf blight,turcicum leaf blight,Disease,1,wikipedia_Northern_corn_leaf_blight,0.9,Bold-text synonyms from Wikipedia:Northern_corn_leaf_blight
WP_POS_0019,Corn smut,''Mycosarcoma maydis,corn smut,mycosarcoma maydis,Disease,1,wikipedia_Corn_smut,0.9,Bold-text synonyms from Wikipedia:Corn_smut
WP_POS_0020,Corn smut,{{lang|es|huitlacoche}},corn smut,lang|es|huitlacoche,Disease,1,wikipedia_Corn_smut,0.9,Bold-text synonyms from Wikipedia:Corn_smut
WP_POS_0021,''Mycosarcoma maydis,{{lang|es|huitlacoche}},mycosarcoma maydis,lang|es|huitlacoche,Disease,1,wikipedia_Corn_smut,0.9,Bold-text synonyms from Wikipedia:Corn_smut
WP_POS_0022,Maize streak virus,Maize streak virus (MSV),maize streak virus,maize streak virus (msv,Disease,1,wikipedia_Maize_streak_virus,0.9,Bold-text synonyms from Wikipedia:Maize_streak_virus
WP_POS_0023,Maize streak virus,maize streak disease,maize streak virus,maize streak disease,Disease,1,wikipedia_Maize_streak_virus,0.9,Bold-text synonyms from Wikipedia:Maize_streak_virus
WP_POS_0024,Maize streak virus,MSD,maize streak virus,msd,Disease,1,wikipedia_Maize_streak_virus,0.9,Bold-text synonyms from Wikipedia:Maize_streak_virus
WP_POS_0025,Maize streak virus (MSV),maize streak disease,maize streak virus (msv,maize streak disease,Disease,1,wikipedia_Maize_streak_virus,0.9,Bold-text synonyms from Wikipedia:Maize_streak_virus
WP_POS_0026,Maize streak virus (MSV),MSD,maize streak virus (msv,msd,Disease,1,wikipedia_Maize_streak_virus,0.9,Bold-text synonyms from Wikipedia:Maize_streak_virus
WP_POS_0027,maize streak disease,MSD,maize streak disease,msd,Disease,1,wikipedia_Maize_streak_virus,0.9,Bold-text synonyms from Wikipedia:Maize_streak_virus
WP_POS_0028,Fire blight,fireblight,fire blight,fireblight,Disease,1,wikipedia_Fire_blight,0.9,Bold-text synonyms from Wikipedia:Fire_blight
WP_POS_0029,Fire blight,''Erwinia amylovora,fire blight,erwinia amylovora,Disease,1,wikipedia_Fire_blight,0.9,Bold-text synonyms from Wikipedia:Fire_blight
WP_POS_0030,fireblight,''Erwinia amylovora,fireblight,erwinia amylovora,Disease,1,wikipedia_Fire_blight,0.9,Bold-text synonyms from Wikipedia:Fire_blight
WP_POS_0031,Botrytis cinerea,''Botrytis cinerea,botrytis cinerea,botrytis cinerea,Disease,1,wikipedia_Botrytis_cinerea,0.9,Bold-text synonyms from Wikipedia:Botrytis_cinerea
WP_POS_0032,Citrus greening disease,huánglóngbìng,citrus greening disease,huanglongbing,Disease,1,wikipedia_Citrus_greening_disease,0.9,Bold-text synonyms from Wikipedia:Citrus_greening_disease
WP_POS_0033,Citrus greening disease,HLB,citrus greening disease,hlb,Disease,1,wikipedia_Citrus_greening_disease,0.9,Bold-text synonyms from Wikipedia:Citrus_greening_disease
WP_POS_0034,huánglóngbìng,HLB,huanglongbing,hlb,Disease,1,wikipedia_Citrus_greening_disease,0.9,Bold-text synonyms from Wikipedia:Citrus_greening_disease
WP_POS_0035,Panama disease,Fusarium wilt,panama disease,fusarium wilt,Disease,1,wikipedia_Panama_disease,0.9,Bold-text synonyms from Wikipedia:Panama_disease
WP_POS_0036,Damping off,damping-off,damping off,damping-off,Disease,1,wikipedia_Damping_off,0.9,Bold-text synonyms from Wikipedia:Damping_off
