index,name_a,name_b,pair_type,context_a,context_b,match,llm_match,lambda_val
2,kashmir bee virus,iflavirus,D,Diseases of the honey bee or abnormal hive conditions include:,"Iflaviridae is a family of positive sense RNA viruses insect-infecting viruses. Some of the insects commonly infected by iflaviruses include aphids, leafhoppers, flies, bees, ants, silkworms and wasps.",0,1,0.3388
11,sclerotinia sclerotiorum,sclerotinia,C,"Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conducive. sclerotiorum can also be known as cottony rot, watery soft rot, stem rot, drop, crown rot and blossom blight.",Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conduc,0,1,0.15
43,erwinia carotovora,erwinia aroideae,A,Erwinia is a genus of Enterobacterales bacteria containing mostly plant pathogenic species which was named for the famou,"Aglaonema is a genus of flowering plants in the arum family, Araceae. They are native to tropical and subtropical region",1,0,0.2814
74,syncytial viruses,feline syncytial virus,A,"Respiratory syncytial virus (RSV), also called human respiratory syncytial virus (hRSV) and human orthopneumovirus, is a virus that causes infections of the respiratory tract.",Feline foamy virus or Feline syncytial virus is a retrovirus and belongs to the family Retroviridae and the subfamily Spumaretrovirinae. It shares the genus Felispumavirus with only Puma feline foamy virus.,1,0,0.3178
92,corn smut,pleioblastus,D,"Corn smut is a plant disease caused by the pathogenic fungus Mycosarcoma maydis, synonym Ustilago maydis. One of several cereal crop pathogens called smut, the fungus forms galls on all above-ground parts of corn species such as maize and teosinte.","Pleioblastus is an East Asian genus of monopodial bamboos in the grass family Poaceae. They are native to China and Japan, and naturalized in scattered places in Korea, Europe, New Zealand, and the Western Hemisphere.",0,1,0.3686
111,hantaan virus,hantavirus,B,Hantaan virus (HTNV) is the main cause of hemorrhagic fever with renal syndrome (HFRS) in East Asia. Hantaan virus is transmitted by the striped field mouse.,"Orthohantavirus is a genus of viruses that includes all hantaviruses that cause disease in humans, but are not spread by humans. Orthohantaviruses, hereafter referred to as hantaviruses, are naturally found primarily in rodents.",1,0,0.2036
161,puumala virus,hantavirus,B,Puumala virus (PUUV) is the main cause of hemorrhagic fever with renal syndrome (HFRS) in Europe and Russia. Puumala virus is transmitted by the bank vole.,"Orthohantavirus is a genus of viruses that includes all hantaviruses that cause disease in humans, but are not spread by humans. Orthohantaviruses, hereafter referred to as hantaviruses, are naturally found primarily in rodents.",1,0,0.2174
207,prrs virus,lelystad virus,A,"Porcine reproductive and respiratory syndrome virus (PRRSV), is a virus that causes a disease of pigs, called porcine reproductive and respiratory syndrome (PRRS), also known as blue-ear pig disease.","Porcine reproductive and respiratory syndrome virus (PRRSV), is a virus that causes a disease of pigs, called porcine reproductive and respiratory syndrome (PRRS), also known as blue-ear pig disease.",1,0,0.2444
231,feline syncytial virus,bovine syncytial virus,A,Feline foamy virus or Feline syncytial virus is a retrovirus and belongs to the family Retroviridae and the subfamily Spumaretrovirinae. It shares the genus Felispumavirus with only Puma feline foamy virus.,"Bovine respiratory syncytial virus (BRSV) is pneumovirus closely related to human respiratory syncytial virus (RSV) that is a common cause of respiratory disease in cattle, particularly calves.",1,0,0.8439
316,alfalfa mosaic virus group,rna tumour viruses,D,"Alfalfa mosaic virus (AMV), also known as Lucerne mosaic virus or Potato calico virus, is a worldwide distributed phytopathogen that can lead to necrosis and yellow mosaics on a large variety of plant species, including commercially important crops.",Plant diseases are diseases in plants caused by pathogens and environmental conditions. Organisms that cause infectious,0,1,0.2932
