name_a,context_a,name_b,context_b,canonical_id_a,canonical_id_b,source_url_a,source_url_b,match,llm_match,lambda_val,context_quality_a,context_quality_b,pair_type,name_sim_score,source_a,source_b,lambda_source,exclude_from_lambda,type_a,type_b,lambda_original,type_needs_scraping,same_context
banana fusarium wilt,"cubense is a fungal plant pathogen that causes Panama disease of banana, also known as Fusarium wilt. The fungi and the related disease are responsible for widespread pressure on banana growing regions, destroying the economic viability of several commercially important banana varieties.",target spot,Spot reduction refers to the claim that fat in a certain area of the body can be targeted for reduction through exercise of specific muscles in that desired area.,banana_fusarium_wilt,target_spot,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.0546,good,good,D,0.0,,,original_llm,0,disease,disease,,0,0
sudden death syndrome,"Sudden death syndrome (SDS), a disease in soybean plants, quickly spread across the southern United States in the 1970s, eventually reaching most agricultural areas of the US.",sds,Fungal disease caused by Fusarium virguliforme. Infects roots early in season but foliar symptoms appear at reproductive,sudden_death_syndrome,sudden_death_syndrome,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.3918,good,good,B,0.0,,,original_llm,0,disease,fungus,,0,0
kashmir bee virus,Diseases of the honey bee or abnormal hive conditions include:,iflavirus,"Iflaviridae is a family of positive sense RNA viruses insect-infecting viruses. Some of the insects commonly infected by iflaviruses include aphids, leafhoppers, flies, bees, ants, silkworms and wasps.",agrovoc_c_e4140d75,agrovoc_c_3bf334af,http://aims.fao.org/aos/agrovoc/c_e4140d75,http://aims.fao.org/aos/agrovoc/c_3bf334af,1,1,0.3388,poor,poor,B,0.0,,,original_llm,1,virus,pest,,0,0
potato blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",phytophthora blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.8371,good,good,A,0.5,,,original_llm,0,fungus,fungus,,0,1
black rot of grape,"Grape black rot is a fungal disease caused by an ascomycetous fungus, Guignardia bidwellii, that attacks grape vines during hot and humid weather. The disease ""originated in eastern North America, but now occurs in portions of Europe, South America, and Asia.",pt,Fungal disease of wheat caused by Puccinia triticina. Creates orange-brown circular pustules scattered on leaf surface.,grape_black_rot,wheat_leaf_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.001,good,good,D,0.0,,,original_llm,0,disease,disease,,0,0
northern leaf blight,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica.",nlb,Fungal disease of corn caused by Exserohilum turcicum. Creates long cigar-shaped grey-green lesions on leaves. Major yie,northern_corn_leaf_blight,northern_corn_leaf_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.446,good,good,B,0.0,,,original_llm,0,disease,disease,,0,0
ccr,"Fungal disease of maize caused by Puccinia sorghi. Produces small, circular to oval pustules on both leaf surfaces. Wide",common rust of maize,"Puccinia sorghi, or common rust of maize, is a species of rust fungus that infects corn and species from the plant genus Oxalis.",common_corn_rust,common_corn_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.3718,good,good,B,0.0,,,original_llm,0,disease,fungus,,0,0
cladosporium leaf mold,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomatoes known as the tomato leaf mold.",leaf mold of tomato,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomatoes known as the tomato leaf mold.",tomato_leaf_mold,tomato_leaf_mold,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.0826,good,good,A,0.5,,,original_llm,0,fungus,fungus,,0,1
furovirus,"Furovirus is a genus of viruses, in the family Virgaviridae. Graminae, winter wheat, wheat, triticale, oat, sorghum bicolor, and plants serve as natural hosts.",potyvirus group,"Potyvirus is a genus of positive-strand RNA viruses in the family Potyviridae. Like begomoviruses, members of this genus may cause significant losses in agricultural, pastoral, horticultural, and ornamental crops.",agrovoc_c_32858,agrovoc_c_32866,http://aims.fao.org/aos/agrovoc/c_32858,http://aims.fao.org/aos/agrovoc/c_32866,0,0,0.001,poor,poor,D,0.0,,,original_llm,1,plant,plant,,0,0
begomovirus,"Begomovirus is a genus of viruses, in the family Geminiviridae. They are plant viruses that as a group have a very wide host range, infecting dicotyledonous plants.",streptomyces scabies,Streptomyces scabiei is a streptomycete bacterium species found in soils around the world. Unlike most of the 500 or so Streptomyces species it is a plant pathogen causing corky lesions to form on tuber and root crops as well as decreasing the growth of seedlings.,agrovoc_c_61d49fca,agrovoc_c_35455,http://aims.fao.org/aos/agrovoc/c_61d49fca,http://aims.fao.org/aos/agrovoc/c_35455,0,0,0.001,poor,good,D,0.0,,,original_llm,0,plant,plant,,0,0
