pair_id,name_1,name_2,canonical_1,canonical_2,entity_type,label,pair_source,confidence,note
AV_POS_0001,African cassava mosaic virus,cassava mosaic virus,african cassava mosaic virus,cassava mosaic virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'African cassava mosaic virus'
AV_POS_0002,Agrotis,Scotia,agrotis,scotia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Agrotis'
AV_POS_0003,Aleutian disease,plasmacytosis of Mink,aleutian disease,plasmacytosis of mink,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aleutian disease'
AV_POS_0004,Alfamovirus,alfalfa mosaic virus group,alfamovirus,alfalfa mosaic virus group,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Alfamovirus'
AV_POS_0005,Anthocerotophyta,hornworts,anthocerotophyta,hornworts,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Anthocerotophyta'
AV_POS_0006,Aphthovirus,FMD virus,aphthovirus,fmd virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aphthovirus'
AV_POS_0007,Aphthovirus,foot and mouth disease virus,aphthovirus,foot and mouth disease virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aphthovirus'
AV_POS_0008,FMD virus,foot and mouth disease virus,fmd virus,foot and mouth disease virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aphthovirus'
AV_POS_0009,Armoracia rusticana,Armoracia lapathifolia,armoracia rusticana,armoracia lapathifolia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Armoracia rusticana'
AV_POS_0010,Armoracia rusticana,Cochlearia armoracia,armoracia rusticana,cochlearia armoracia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Armoracia rusticana'
AV_POS_0011,Armoracia lapathifolia,Cochlearia armoracia,armoracia lapathifolia,cochlearia armoracia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Armoracia rusticana'
AV_POS_0012,Ascochyta leaf blight,lentil antrachnose,ascochyta leaf blight,lentil antrachnose,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Ascochyta leaf blight'
AV_POS_0013,Ascochyta leaf blight,lentil blight,ascochyta leaf blight,lentil blight,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Ascochyta leaf blight'
AV_POS_0014,lentil antrachnose,lentil blight,lentil antrachnose,lentil blight,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Ascochyta leaf blight'
AV_POS_0015,Aujeszky virus,pseudorabies virus,aujeszky virus,pseudorabies virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aujeszky virus'
AV_POS_0016,Aujeszky's disease,pseudorabies,aujeszky's disease,pseudorabies,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aujeszky's disease'
AV_POS_0017,Aviadenovirus,avian adenovirus,aviadenovirus,avian adenovirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aviadenovirus'
AV_POS_0018,Blastophaga psenes,fig wasp,blastophaga psenes,fig wasp,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Blastophaga psenes'
AV_POS_0019,Bromovirus,brome mosaic bromovirus,bromovirus,brome mosaic bromovirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Bromovirus'
AV_POS_0020,Bromovirus,cowpea chlorotic mottle bromovirus,bromovirus,cowpea chlorotic mottle bromovirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Bromovirus'
