entity_id,name,canonical,entity_type,context,source,source_url
ENT_85A438,Abutilon mosaic virus,abutilon mosaic virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_e56144a3
ENT_24AAF2,Abyssobrotula galatheae,abyssobrotula galatheae,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_41952
ENT_DF3009,Acrotylus,acrotylus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_32308
ENT_3B9E36,African cassava mosaic virus,african cassava mosaic virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_33962
ENT_AA9590,cassava mosaic virus,cassava mosaic virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_33962
ENT_48B13F,African horse sickness virus,african horse sickness virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_8644
ENT_EAC390,African swine fever virus,african swine fever virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_8649
ENT_E33DC3,Agmus scabriceps,agmus scabriceps,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_41121
ENT_2EAD43,Agrotis,agrotis,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_221
ENT_DB5268,Scotia,scotia,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_221
ENT_3A0785,Agrotis fucosa,agrotis fucosa,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_30243
ENT_888F01,Agrotis ipsilon,agrotis ipsilon,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_30244
ENT_B407EB,Agrotis segetum,agrotis segetum,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_30245
ENT_526A8F,Akabane disease,akabane disease,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_e5bd81ae
ENT_4A6704,Akabane virus,akabane virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_16382
ENT_DA7554,Akarotaxis nudiceps,akarotaxis nudiceps,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_44117
ENT_0C4D3F,Aleurothrixus,aleurothrixus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_27113
ENT_944834,Aleurothrixus floccosus,aleurothrixus floccosus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_27114
ENT_363D8F,Aleutian disease,aleutian disease,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_16383
ENT_90A891,plasmacytosis of Mink,plasmacytosis of mink,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_16383
ENT_281804,Alfamovirus,alfamovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_72c44dde
ENT_C15518,alfalfa mosaic virus group,alfalfa mosaic virus group,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_72c44dde
ENT_0A355A,Allium scabriflorum,allium scabriflorum,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_f144323b
ENT_A240E0,Allium scabriscapum,allium scabriscapum,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_624ff03f
ENT_7E1702,Allium scorodoprasum subsp. rotundum,allium scorodoprasum subsp. rotundum,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_65efe551
ENT_5CA1EC,Allomicrodesmus dorotheae,allomicrodesmus dorotheae,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_44670
ENT_5FA15F,Alluroteuthis antarcticus,alluroteuthis antarcticus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_48855
ENT_852285,Alphacoronavirus,alphacoronavirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_21adac85
ENT_6AA018,Alphacryptovirus,alphacryptovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_f153ccae
ENT_6E994E,Alphavirus,alphavirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_305
ENT_27394B,Alternaria carotiincultae,alternaria carotiincultae,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_cb09738e
ENT_8D9E8C,American plum line pattern virus,american plum line pattern virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_83f1b89f
ENT_3E8B42,Anchoa lamprotaenia,anchoa lamprotaenia,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_39175
ENT_49AED3,Ancistroteuthis lichtensteini,ancistroteuthis lichtensteini,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_48749
ENT_B20EEF,Anthocerotophyta,anthocerotophyta,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_330301
ENT_DDBC95,hornworts,hornworts,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_330301
ENT_A74D04,Aparavirus,aparavirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_3a8d32b2
ENT_5BBEBE,Aphthovirus,aphthovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_3034
ENT_B85B15,FMD virus,fmd virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_3034
ENT_465187,foot and mouth disease virus,foot and mouth disease virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_3034
ENT_199152,Argyrotaenia,argyrotaenia,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_610
ENT_D06F5F,Argyrotaenia velutinana,argyrotaenia velutinana,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_30357
ENT_7C6A59,Aristolochia rotunda,aristolochia rotunda,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_4e8bc3e6
ENT_13F207,Armoracia rusticana,armoracia rusticana,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_621
ENT_62F764,Armoracia lapathifolia,armoracia lapathifolia,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_621
ENT_845877,Cochlearia armoracia,cochlearia armoracia,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_621
ENT_DF4E9E,Arothron firmamentum,arothron firmamentum,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_45876
ENT_DF54DC,Arothron hispidus,arothron hispidus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_45877
ENT_0C9557,Arothron mappa,arothron mappa,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_45878
ENT_E10D0B,Arothron meleagris,arothron meleagris,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_45879
ENT_ABE3FD,Arothron nigropunctatus,arothron nigropunctatus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_45880
ENT_65C26C,Artemisia abrotanum,artemisia abrotanum,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_da5bfa89
ENT_A68339,Arterivirus,arterivirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_35371
ENT_4E5B2B,Ascochyta blight on peas,ascochyta blight on peas,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_00cfeede
ENT_276450,Ascochyta leaf blight,ascochyta leaf blight,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_cc941c96
ENT_25061A,lentil antrachnose,lentil antrachnose,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_cc941c96
ENT_61797B,lentil blight,lentil blight,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_cc941c96
ENT_6F8E32,Asprotilapia leptura,asprotilapia leptura,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_43497
ENT_4F88B8,Astrotia stokesii,astrotia stokesii,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_49093
ENT_F88BAE,Atya scabra,atya scabra,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_46489
ENT_AAF7BA,Aujeszky virus,aujeszky virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_9000
ENT_3080A3,pseudorabies virus,pseudorabies virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_9000
ENT_1308A3,Aujeszky's disease,aujeszky's disease,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_710
ENT_AD63C5,pseudorabies,pseudorabies,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_710
ENT_01927B,Aureusvirus,aureusvirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_82d0027c
ENT_5B1E86,Avenavirus,avenavirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_9c338b28
ENT_C2B5E5,Aviadenovirus,aviadenovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_9013
ENT_8476BB,avian adenovirus,avian adenovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_9013
ENT_A5F722,Avipoxvirus,avipoxvirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_743
ENT_D6411E,Babesia microti,babesia microti,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_31202
ENT_EE9735,Bacillus stearothermophilus,bacillus stearothermophilus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_26388
ENT_C7A297,Baculovirus,baculovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_35612
ENT_E9627B,Barbus macrotaenia,barbus macrotaenia,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_40086
ENT_5D33B3,Begomovirus,begomovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_61d49fca
ENT_9A6DFB,Benthosema pterotum,benthosema pterotum,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_39737
ENT_16A7D8,Betabaculovirus,betabaculovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_12c67059
ENT_D46ACF,Betacoronavirus,betacoronavirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_7ec13bd4
ENT_A7BFE9,Betacryptovirus,betacryptovirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_e584b6f9
ENT_0ECF0B,Birnavirus,birnavirus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_32394
ENT_F29A52,Blastocladiales,blastocladiales,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_31644
ENT_B8411D,Blastocladiomycota,blastocladiomycota,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_331235
ENT_499B9D,Blastocystis,blastocystis,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_31776
ENT_52CBE5,Blastomyces,blastomyces,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_952
ENT_5E8D31,Blastomycetes,blastomycetes,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_9310
ENT_BD4817,Blastophaga,blastophaga,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_0b00417e
ENT_C91F13,Blastophaga psenes,blastophaga psenes,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_f9991611
ENT_E06056,fig wasp,fig wasp,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_f9991611
ENT_924F50,Blastoschizomyces,blastoschizomyces,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_31547
ENT_FCCF4C,Borna disease,borna disease,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_16693
ENT_47A3FD,Borna disease virus,borna disease virus,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_18805
ENT_634CEA,Brachionus rotundiformis,brachionus rotundiformis,Disease,,agrovoc,http://aims.fao.org/aos/agrovoc/c_49322
