name,type,source_url,source_text
alternaria blight,,,
alternaria blight of potato,,,
apple black rot,,,
apple black-rot,,,
apple scab,fungus,https://en.wikipedia.org/wiki/Apple_scab,"Apple scab is a common disease of plants in the rose family (Rosaceae) that is caused by the ascomycete fungus Venturia inaequalis. While this disease affects several plant genera, including Sorbus, Cotoneaster, and Pyrus, it is most commonly associated with the infection of Malus trees, including s"
apple scab disease,,,
asian soybean rust,unknown,https://en.wikipedia.org/wiki/Asian_soybean_rust,
bacterial leaf blight of rice,,,
bacterial spot of pepper,,,
bacterial spot of tomato,,,
banana black sigatoka,,,
banana panama disease,,,
banana wilt,unknown,https://en.wikipedia.org/wiki/Banana_Hill,
beet necrotic yellow vein furovirus,,,
black leaf streak disease,fungus,https://en.wikipedia.org/wiki/Black_leaf_streak_disease,"Black sigatoka is a leaf-spot disease of banana plants caused by the ascomycete fungus Mycosphaerella fijiensis (Morelet), also known as black leaf streak. It was discovered in 1963 and named for its similarities with yellow Sigatoka, which is caused by Mycosphaerella musicola (Mulder), which was it"
black measles,bacteria,https://en.wikipedia.org/wiki/Black_measles,"Rocky Mountain spotted fever (RMSF) is a bacterial disease spread by ticks. It typically begins with a fever and headache, which is followed a few days later with the development of a rash. The rash is generally made up of small spots of bleeding and starts on the wrists and ankles. Other symptoms m"
black rot of apple,,,
black rot of grape,fungus,https://en.wikipedia.org/wiki/Black_rot_(grape_disease),"Grape black rot is a fungal disease caused by an ascomycetous fungus, Guignardia bidwellii, that attacks grape vines during hot and humid weather. The disease ""originated in eastern North America, but now occurs in portions of Europe, South America, and Asia. It can cause complete crop loss in warm,"
black rust,fungus,https://en.wikipedia.org/wiki/Black_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere"
black sigatoka,fungus,https://en.wikipedia.org/wiki/Black_sigatoka,"Black sigatoka is a leaf-spot disease of banana plants caused by the ascomycete fungus Mycosphaerella fijiensis (Morelet), also known as black leaf streak. It was discovered in 1963 and named for its similarities with yellow Sigatoka, which is caused by Mycosphaerella musicola (Mulder), which was it"
blast disease of rice,,,
brown rust of wheat,,,
brown spot of rice,,,
cercospora leaf spot of maize,,,
cereal powdery mildew,,,
cereal rust,fungus,https://en.wikipedia.org/wiki/Cereal_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere"
cherry powdery mildew,,,
citrus greening,unknown,https://en.wikipedia.org/wiki/Citrus_greening_disease,
citrus greening disease,unknown,https://en.wikipedia.org/wiki/Citrus_greening_disease,
citrus haunglongbing,,,
citrus hlb,fungus,https://en.wikipedia.org/wiki/Citrus_black_spot,"Citrus black spot is a fungal disease caused by Phyllosticta citricarpa(previously known as Guignardia citricarpa). This Ascomycete fungus affects citrus plants throughout subtropical climates, causing a reduction in both fruit quantity and quality.
Symptoms include both fruit and leaf lesions, the "
cladosporium leaf mold,,,
clubroot,unknown,https://en.wikipedia.org/wiki/Clubroot,
coffee leaf rust,fungus,https://en.wikipedia.org/wiki/Coffee_leaf_rust,"Hemileia vastatrix is a multicellular basidiomycete fungus of the order Pucciniales (previously also known as Uredinales) that causes coffee leaf rust (CLR), a disease affecting the coffee plant. Coffee serves as the obligate host of coffee rust, that is, the rust must have access to and come into p"
coffee rust,fungus,https://en.wikipedia.org/wiki/Coffee_rust,"Hemileia vastatrix is a multicellular basidiomycete fungus of the order Pucciniales (previously also known as Uredinales) that causes coffee leaf rust (CLR), a disease affecting the coffee plant. Coffee serves as the obligate host of coffee rust, that is, the rust must have access to and come into p"
common rust,fungus,https://en.wikipedia.org/wiki/Common_rust,"Puccinia sorghi, or common rust of maize, is a species of rust fungus that infects corn and species from the plant genus Oxalis."
common rust of maize,,,
corn common rust,,,
corn smut,unknown,https://en.wikipedia.org/wiki/Corn_smut,
cpm,unknown,https://en.wikipedia.org/wiki/CPM,
cucurbit powdery mildew,fungus,https://en.wikipedia.org/wiki/Cucurbit_powdery_mildew,"Erysiphaceae (commonly known as powdery mildews) is a family of ascomycete fungi in the order Helotiales. The members of this family are obligate parasites with a superficial mycelium that forms a characteristic white, powdery coating on their host plants.
The family contains seventeen genera and ar"
damping off,unknown,https://en.wikipedia.org/wiki/Damping_off,
damping-off,unknown,https://en.wikipedia.org/wiki/Damping_off,
downy mildew of cucurbits,,,
early blight,fungus,https://en.wikipedia.org/wiki/Early_blight,"Alternaria solani is a fungal pathogen that produces a disease in tomato and potato plants called early blight. The pathogen produces distinctive ""bullseye"" patterned leaf spots and can also cause stem lesions and fruit rot on tomato and tuber blight on potato. Despite the name ""early"", foliar sympt"
early blight of potato,,,
early blight of tomato,,,
erwinia amylovora,bacteria,https://en.wikipedia.org/wiki/Erwinia_amylovora,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season.
The causal pathogen is Erw"
esca disease,,,
