entity_id,name,canonical,entity_type,context,source,source_url
ENT_49E496,Blockchain Technology Adoption,blockchain technology adoption,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_33AE2E,agri-produce,agri-produce,Crop,,kg_triples,local:extracted_kg_triples.csv
ENT_22B8F3,technology adoption in agri-SC,technology adoption in agri-sc,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_812E8B,technology adoption,technology adoption,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_4298FB,innovative technology,innovative technology,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_B3C567,blockchain technology,blockchain technology,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_B0BC23,Hyperledger fabric,hyperledger fabric,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_3174EB,BCT,bct,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_1D1E54,Indian agri-SC,indian agri-sc,Agri_Process,,kg_triples,local:extracted_kg_triples.csv
ENT_3D6900,Industry 4.0,industry 4.0,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_FF0DC0,Precision agriculture,precision agriculture,Agri_Process,,kg_triples,local:extracted_kg_triples.csv
ENT_9B0F84,Smart Agriculture,smart agriculture,Agri_Process,,kg_triples,local:extracted_kg_triples.csv
ENT_528FBE,comprehensive and secure systems,comprehensive and secure systems,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_B1ACB5,Smart farming,smart farming,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_C7A750,blockchain platform,blockchain platform,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_01F6A2,blockchain applications,blockchain applications,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_6F3D95,Blockchain infrastructure,blockchain infrastructure,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_9292F2,Data analytics,data analytics,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_8F2681,Insurance facilities,insurance facilities,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_D96CBD,Blockchain,blockchain,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_CFDC62,mobile phones,mobile phones,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_DB71BB,blockchain-linked database,blockchain-linked database,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_D393E4,blockchain technologies,blockchain technologies,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_D287DA,Crowdfunding,crowdfunding,Agri_Process,,kg_triples,local:extracted_kg_triples.csv
ENT_611E6E,Ethereum smart contracts,ethereum smart contracts,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_2B50B3,Blockchain-powered IPFS,blockchain-powered ipfs,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_8CB406,blockchain-powered systems,blockchain-powered systems,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_3F0854,blockchain-powered ledgers,blockchain-powered ledgers,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_F2CADE,blockchain-powered waste collection system,blockchain-powered waste collection system,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_99C2E8,blockchain-based waste collection system,blockchain-based waste collection system,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_1FD4DD,renewable energy approaches,renewable energy approaches,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_783FE6,block chain technology,block chain technology,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_424683,phenomenology,phenomenology,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_BB9E23,grounded theory,grounded theory,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_E2512F,multicriteria decision-making techniques,multicriteria decision-making techniques,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_424E51,MCDM and ISM,mcdm and ism,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_42FEA1,ISM,ism,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_415B96,ISM-MICMAC methodology,ism-micmac methodology,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_D25BD8,ISM-DEMATEL,ism-dematel,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_F9E3D5,DEMATEL,dematel,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_2389BF,smart irrigation,smart irrigation,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_62F9F8,Weather monitoring,weather monitoring,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_ABF686,asset monitoring,asset monitoring,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_63A3FE,crop and soil monitoring,crop and soil monitoring,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_8546C8,livestock monitoring,livestock monitoring,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_8FF40C,Fair financial audits,fair financial audits,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_B5099D,logistic maintenance,logistic maintenance,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_E21AD2,food chain transparency,food chain transparency,Agri_Process,,kg_triples,local:extracted_kg_triples.csv
ENT_A2AD32,MICMAC analysis,micmac analysis,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_967A37,logistics maintenance,logistics maintenance,Agri_Process,,kg_triples,local:extracted_kg_triples.csv
ENT_A3506F,Smart irrigation sensors,smart irrigation sensors,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_A97E13,IoT based sensor units,iot based sensor units,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_0027A7,precision irrigation,precision irrigation,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_648917,irrigation,irrigation,Agri_Process,,kg_triples,local:extracted_kg_triples.csv
ENT_5A72CA,BCT-based monitoring systems,bct-based monitoring systems,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_515D78,BCT-based system,bct-based system,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_FE3831,vehicular ad-hoc networks vehicles,vehicular ad-hoc networks vehicles,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_0F219D,blockchain assisted smart irrigation,blockchain assisted smart irrigation,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_80CC79,BCT assisted real-time information,bct assisted real-time information,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_0DEF0A,BCT-assisted livestock monitoring,bct-assisted livestock monitoring,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_51A078,"Smart contracts, provenance tracking or traceability, and finance innovation","smart contracts, provenance tracking or traceability, and finance innovation",Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_B8BC0F,block chain,block chain,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_8E5799,ISM-DEMATEL technique,ism-dematel technique,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_C17594,BCT migration,bct migration,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_9F2726,ISM-DEMATEL methodology,ism-dematel methodology,Agri_Method,,kg_triples,local:extracted_kg_triples.csv
ENT_75AE30,Nano-food packaging,nano-food packaging,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_C7D653,"Smart sensing, communication, and control","smart sensing, communication, and control",Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_CCE62A,Block chain ready manufacturing supply chain,block chain ready manufacturing supply chain,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_86B15A,cloud adoption,cloud adoption,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_3AED67,Industry 4.0 IoT enablers,industry 4.0 iot enablers,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_E76DAB,Industry 4.0 adoption,industry 4.0 adoption,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_F099F1,Blockchain for 5G-enabled IoT,blockchain for 5g-enabled iot,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_9EDAD9,eFarm,efarm,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_EFC386,Multiplatform application,multiplatform application,Technology,,kg_triples,local:extracted_kg_triples.csv
ENT_C42F81,late blight,late blight,Disease,A destructive disease of potato and tomato plants caused by the oomycete pathogen Phytophthora infestans. Leads to rapid tissue death and crop failure.,kg_triples,local:extracted_kg_triples.csv
ENT_BEECD5,Early blight,early blight,Disease,A fungal disease of tomato and potato caused by Alternaria solani. Characterized by dark concentric spots on leaves.,kg_triples,local:extracted_kg_triples.csv
