entity_id,name,canonical,entity_type,context,source,source_url,crop,pathogen,folder_name
PV_0001,Apple Scab,apple scab,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Venturia inaequalis,
PV_0001_V001,Apple Scab,apple scab,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Venturia inaequalis,
PV_0001_V002,APPLE SCAB,apple scab,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Venturia inaequalis,
PV_0001_V003,apple-scab,apple-scab,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Venturia inaequalis,
PV_0001_V004,scab of apple,scab of apple,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Venturia inaequalis,
PV_0001_V005,Venturia scab,venturia scab,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Venturia inaequalis,
PV_0001_V006,apple scab disease,apple scab disease,Disease,Fungal disease of apple caused by Venturia inaequalis. Produces olive-green to black lesions on leaves and fruit surface. Major cause of apple crop losses worldwide.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Venturia inaequalis,
PV_0002,Apple Black Rot,apple black rot,Disease,Fungal disease caused by Botryosphaeria obtusa. Creates circular brown lesions on fruit and frog-eye leaf spot. Common in humid climates.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Botryosphaeria obtusa,
PV_0002_V008,Apple Black Rot,apple black rot,Disease,Fungal disease caused by Botryosphaeria obtusa. Creates circular brown lesions on fruit and frog-eye leaf spot. Common in humid climates.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Botryosphaeria obtusa,
PV_0002_V009,APPLE BLACK ROT,apple black rot,Disease,Fungal disease caused by Botryosphaeria obtusa. Creates circular brown lesions on fruit and frog-eye leaf spot. Common in humid climates.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Botryosphaeria obtusa,
PV_0002_V010,apple black-rot,apple black-rot,Disease,Fungal disease caused by Botryosphaeria obtusa. Creates circular brown lesions on fruit and frog-eye leaf spot. Common in humid climates.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Botryosphaeria obtusa,
PV_0002_V011,Black Rot of apple,black rot of apple,Disease,Fungal disease caused by Botryosphaeria obtusa. Creates circular brown lesions on fruit and frog-eye leaf spot. Common in humid climates.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,apple,Botryosphaeria obtusa,
