entity_id,name,canonical,entity_type,context,source,source_url
ENT_3B0A44,Late blight,late blight,Disease,,wikipedia,https://en.wikipedia.org/wiki/Late_blight
ENT_08F010,Potato virus Y,potato virus y,Disease,"Potato virus Y (PVY) is a plant virus of the family Potyviridae, and one of the most important plant viruses affecting potato production. PVY infection of potato plants results in a variety of symptoms depending on the viral strain. The mildest of these symptoms is production loss, but the most detr",wikipedia,https://en.wikipedia.org/wiki/Potato_virus_Y
ENT_4F44C2,Potato virus Y (PVY),potato virus y (pvy,Disease,"Potato virus Y (PVY) is a plant virus of the family Potyviridae, and one of the most important plant viruses affecting potato production. PVY infection of potato plants results in a variety of symptoms depending on the viral strain. The mildest of these symptoms is production loss, but the most detr",wikipedia,https://en.wikipedia.org/wiki/Potato_virus_Y
ENT_1988A4,Wheat streak mosaic virus,wheat streak mosaic virus,Disease,"Wheat streak mosaic virus (WSMV) is a plant pathogenic virus of the family Potyviridae that infects plants in the family Poaceae, especially wheat (Triticum spp.); it is globally distributed and vectored by the wheat curl mite, particularly in regions where wheat is widely grown. First described in",wikipedia,https://en.wikipedia.org/wiki/Wheat_streak_mosaic_virus
ENT_92106C,WSMV,wsmv,Disease,"Wheat streak mosaic virus (WSMV) is a plant pathogenic virus of the family Potyviridae that infects plants in the family Poaceae, especially wheat (Triticum spp.); it is globally distributed and vectored by the wheat curl mite, particularly in regions where wheat is widely grown. First described in",wikipedia,https://en.wikipedia.org/wiki/Wheat_streak_mosaic_virus
ENT_9EF85A,Fusarium head blight,fusarium head blight,Disease,,wikipedia,https://en.wikipedia.org/wiki/Fusarium_head_blight
ENT_12B8D7,Septoria tritici blotch,septoria tritici blotch,Disease,,wikipedia,https://en.wikipedia.org/wiki/Septoria_tritici_blotch
ENT_B42D96,Tan spot,tan spot,Disease,,wikipedia,https://en.wikipedia.org/wiki/Tan_spot
ENT_FDEB15,Yellow rust,yellow rust,Disease,,wikipedia,https://en.wikipedia.org/wiki/Yellow_rust
ENT_CC51BD,Stem rust,stem rust,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
ENT_395B76,cereal rust,cereal rust,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
