name_a,context_a,name_b,context_b,canonical_id_a,canonical_id_b,source_url_a,source_url_b,match,llm_match,lambda_val,context_quality_a,quality_reason_a,context_quality_b,quality_reason_b
banana fusarium wilt,"cubense is a fungal plant pathogen that causes Panama disease of banana, also known as Fusarium wilt. The fungi and the related disease are responsible for widespread pressure on banana growing regions, destroying the economic viability of several commercially important banana varieties.",target spot,Spot reduction refers to the claim that fat in a certain area of the body can be targeted for reduction through exercise of specific muscles in that desired area.,banana_fusarium_wilt,target_spot,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.0546,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
sudden death syndrome,"Sudden death syndrome (SDS), a disease in soybean plants, quickly spread across the southern United States in the 1970s, eventually reaching most agricultural areas of the US.",sds,Fungal disease caused by Fusarium virguliforme. Infects roots early in season but foliar symptoms appear at reproductive,sudden_death_syndrome,sudden_death_syndrome,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.3918,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
kashmir bee virus,Diseases of the honey bee or abnormal hive conditions include:,iflavirus,"Iflaviridae is a family of positive sense RNA viruses insect-infecting viruses. Some of the insects commonly infected by iflaviruses include aphids, leafhoppers, flies, bees, ants, silkworms and wasps.",agrovoc_c_e4140d75,agrovoc_c_3bf334af,http://aims.fao.org/aos/agrovoc/c_e4140d75,http://aims.fao.org/aos/agrovoc/c_3bf334af,0,True,0.3388,poor,poor phrase: 'abnormal hive conditions include',poor,poor phrase: 'is a family of'
potato blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",phytophthora blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.8371,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
black rot of grape,"Grape black rot is a fungal disease caused by an ascomycetous fungus, Guignardia bidwellii, that attacks grape vines during hot and humid weather. The disease ""originated in eastern North America, but now occurs in portions of Europe, South America, and Asia.",pt,Fungal disease of wheat caused by Puccinia triticina. Creates orange-brown circular pustules scattered on leaf surface.,grape_black_rot,wheat_leaf_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
diabrotica,"Diabrotica is a large, widespread genus of beetles in the family Chrysomelidae. Members of this genus include several destructive agricultural pest species, sometimes referred to as corn rootworms.",cedar-apple rust,"Gymnosporangium juniperi-virginianae is a plant pathogen that causes cedar-apple rust. In virtually any location where apples or crabapples (Malus) and eastern red cedar coexist, cedar apple rust can be a destructive or disfiguring disease on both the apples and cedars.",agrovoc_c_2235,cedar_apple_rust,http://aims.fao.org/aos/agrovoc/c_2235,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
alternaria blight of potato,"Fungal disease of potato caused by Alternaria solani. Produces dark brown target-board lesions on lower leaves first, pr",herotilapia multispinosa,"Herotilapia multispinosa also known as the rainbow cichlid is a Central American freshwater fish of the cichlid family. It is found on the Atlantic slope of Honduras, Nicaragua, and Costa Rica from Patuca River (Honduras) south to Matina River, and on the Pacific slope of Nicaragua and Costa Rica from Guasaule River south to Tempisque River.",early_blight,agrovoc_c_43640,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_43640,0,False,0.85,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
northern leaf blight,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica.",nlb,Fungal disease of corn caused by Exserohilum turcicum. Creates long cigar-shaped grey-green lesions on leaves. Major yie,northern_corn_leaf_blight,northern_corn_leaf_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.446,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
ccr,"Fungal disease of maize caused by Puccinia sorghi. Produces small, circular to oval pustules on both leaf surfaces. Wide",common rust of maize,"Puccinia sorghi, or common rust of maize, is a species of rust fungus that infects corn and species from the plant genus Oxalis.",common_corn_rust,common_corn_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.3718,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
cladosporium leaf mold,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomatoes known as the tomato leaf mold.",leaf mold of tomato,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomatoes known as the tomato leaf mold.",tomato_leaf_mold,tomato_leaf_mold,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.0826,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
