pair_id,name_1,name_2,canonical_1,canonical_2,entity_type,label,pair_source,confidence,note,context_1,context_2
AV_POS_0001,African cassava mosaic virus,cassava mosaic virus,african cassava mosaic virus,cassava mosaic virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'African cassava mosaic virus',nan,nan
AV_POS_0002,Agrotis,Scotia,agrotis,scotia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Agrotis',nan,nan
AV_POS_0003,Aleutian disease,plasmacytosis of Mink,aleutian disease,plasmacytosis of mink,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aleutian disease',nan,nan
AV_POS_0004,Alfamovirus,alfalfa mosaic virus group,alfamovirus,alfalfa mosaic virus group,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Alfamovirus',nan,nan
AV_POS_0005,Anthocerotophyta,hornworts,anthocerotophyta,hornworts,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Anthocerotophyta',nan,nan
AV_POS_0006,Aphthovirus,FMD virus,aphthovirus,fmd virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aphthovirus',nan,nan
AV_POS_0007,Aphthovirus,foot and mouth disease virus,aphthovirus,foot and mouth disease virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aphthovirus',nan,nan
AV_POS_0008,FMD virus,foot and mouth disease virus,fmd virus,foot and mouth disease virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aphthovirus',nan,nan
AV_POS_0009,Armoracia rusticana,Armoracia lapathifolia,armoracia rusticana,armoracia lapathifolia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Armoracia rusticana',nan,nan
AV_POS_0010,Armoracia rusticana,Cochlearia armoracia,armoracia rusticana,cochlearia armoracia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Armoracia rusticana',nan,nan
AV_POS_0011,Armoracia lapathifolia,Cochlearia armoracia,armoracia lapathifolia,cochlearia armoracia,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Armoracia rusticana',nan,nan
AV_POS_0012,Ascochyta leaf blight,lentil antrachnose,ascochyta leaf blight,lentil antrachnose,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Ascochyta leaf blight',nan,nan
AV_POS_0013,Ascochyta leaf blight,lentil blight,ascochyta leaf blight,lentil blight,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Ascochyta leaf blight',nan,nan
AV_POS_0014,lentil antrachnose,lentil blight,lentil antrachnose,lentil blight,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Ascochyta leaf blight',nan,nan
AV_POS_0015,Aujeszky virus,pseudorabies virus,aujeszky virus,pseudorabies virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aujeszky virus',nan,nan
AV_POS_0016,Aujeszky's disease,pseudorabies,aujeszky's disease,pseudorabies,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aujeszky's disease',nan,nan
AV_POS_0017,Aviadenovirus,avian adenovirus,aviadenovirus,avian adenovirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Aviadenovirus',nan,nan
AV_POS_0018,Blastophaga psenes,fig wasp,blastophaga psenes,fig wasp,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Blastophaga psenes',nan,nan
AV_POS_0019,Bromovirus,brome mosaic bromovirus,bromovirus,brome mosaic bromovirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Bromovirus',nan,nan
AV_POS_0020,Bromovirus,cowpea chlorotic mottle bromovirus,bromovirus,cowpea chlorotic mottle bromovirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Bromovirus',nan,nan
AV_POS_0021,brome mosaic bromovirus,cowpea chlorotic mottle bromovirus,brome mosaic bromovirus,cowpea chlorotic mottle bromovirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Bromovirus',nan,nan
AV_POS_0022,Carpobrotus edulis,Mesembryanthemum edulis,carpobrotus edulis,mesembryanthemum edulis,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Carpobrotus edulis',nan,nan
AV_POS_0023,Chagas disease,American trypanosomiasis,chagas disease,american trypanosomiasis,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Chagas disease',nan,nan
AV_POS_0024,Clitoria yellow vein virus,CYVV (Clitoria yellow vein virus),clitoria yellow vein virus,cyvv (clitoria yellow vein virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Clitoria yellow vein virus',nan,nan
AV_POS_0025,Coleus rotundifolius,Coleus parviflorus,coleus rotundifolius,coleus parviflorus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Coleus rotundifolius',nan,nan
AV_POS_0026,Coleus rotundifolius,Coleus tuberosus,coleus rotundifolius,coleus tuberosus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Coleus rotundifolius',nan,nan
AV_POS_0027,Coleus parviflorus,Coleus tuberosus,coleus parviflorus,coleus tuberosus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Coleus rotundifolius',nan,nan
AV_POS_0028,Crimean-Congo hemorrhagic fever orthonairovirus,CCHFV,crimean-congo hemorrhagic fever orthonairovirus,cchfv,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0029,Crimean-Congo hemorrhagic fever orthonairovirus,Congo virus,crimean-congo hemorrhagic fever orthonairovirus,congo virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0030,Crimean-Congo hemorrhagic fever orthonairovirus,Crimean haemorrhagic fever virus,crimean-congo hemorrhagic fever orthonairovirus,crimean haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0031,Crimean-Congo hemorrhagic fever orthonairovirus,Crimean hemorrhagic fever virus,crimean-congo hemorrhagic fever orthonairovirus,crimean hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0032,Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo haemorrhagic fever virus,crimean-congo hemorrhagic fever orthonairovirus,crimean-congo haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0033,Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo hemorrhagic fever virus,crimean-congo hemorrhagic fever orthonairovirus,crimean-congo hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0034,CCHFV,Congo virus,cchfv,congo virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0035,CCHFV,Crimean haemorrhagic fever virus,cchfv,crimean haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0036,CCHFV,Crimean hemorrhagic fever virus,cchfv,crimean hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0037,CCHFV,Crimean-Congo haemorrhagic fever virus,cchfv,crimean-congo haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0038,CCHFV,Crimean-Congo hemorrhagic fever virus,cchfv,crimean-congo hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0039,Congo virus,Crimean haemorrhagic fever virus,congo virus,crimean haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0040,Congo virus,Crimean hemorrhagic fever virus,congo virus,crimean hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0041,Congo virus,Crimean-Congo haemorrhagic fever virus,congo virus,crimean-congo haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0042,Congo virus,Crimean-Congo hemorrhagic fever virus,congo virus,crimean-congo hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0043,Crimean haemorrhagic fever virus,Crimean hemorrhagic fever virus,crimean haemorrhagic fever virus,crimean hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0044,Crimean haemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,crimean haemorrhagic fever virus,crimean-congo haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0045,Crimean haemorrhagic fever virus,Crimean-Congo hemorrhagic fever virus,crimean haemorrhagic fever virus,crimean-congo hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0046,Crimean hemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,crimean hemorrhagic fever virus,crimean-congo haemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0047,Crimean hemorrhagic fever virus,Crimean-Congo hemorrhagic fever virus,crimean hemorrhagic fever virus,crimean-congo hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0048,Crimean-Congo haemorrhagic fever virus,Crimean-Congo hemorrhagic fever virus,crimean-congo haemorrhagic fever virus,crimean-congo hemorrhagic fever virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crimean-Congo hemorrhagic fever orthonairovirus',nan,nan
AV_POS_0049,Crotalaria juncea,sunhemp,crotalaria juncea,sunhemp,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Crotalaria juncea',nan,nan
AV_POS_0050,Densovirus,Densonucleosis virus,densovirus,densonucleosis virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Densovirus',nan,nan
AV_POS_0051,Eurotiales,Aspergillales,eurotiales,aspergillales,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Eurotiales',nan,nan
AV_POS_0052,Eurotiales,Plectascales,eurotiales,plectascales,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Eurotiales',nan,nan
AV_POS_0053,Aspergillales,Plectascales,aspergillales,plectascales,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Eurotiales',nan,nan
AV_POS_0054,Fusarium sporotrichioides,Fusarium sporotrichiella,fusarium sporotrichioides,fusarium sporotrichiella,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Fusarium sporotrichioides',nan,nan
AV_POS_0055,Fusarium wilt of melon,Fusarium wilt of muskmelons,fusarium wilt of melon,fusarium wilt of muskmelons,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Fusarium wilt of melon',nan,nan
AV_POS_0056,Gumboro disease,avian infectious bursitis,gumboro disease,avian infectious bursitis,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Gumboro disease',nan,nan
AV_POS_0057,Gumboro disease,infectious bursal disease,gumboro disease,infectious bursal disease,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Gumboro disease',nan,nan
AV_POS_0058,avian infectious bursitis,infectious bursal disease,avian infectious bursitis,infectious bursal disease,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Gumboro disease',nan,nan
AV_POS_0059,Hantavirus,Hantaan virus,hantavirus,hantaan virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Hantavirus',nan,nan
AV_POS_0060,Hantavirus,Puumala virus,hantavirus,puumala virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Hantavirus',nan,nan
AV_POS_0061,Hantaan virus,Puumala virus,hantaan virus,puumala virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Hantavirus',nan,nan
AV_POS_0062,Hendra henipavirus,Hendra virus,hendra henipavirus,hendra virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Hendra henipavirus',nan,nan
AV_POS_0063,Hendra virus disease,Hendra virus infection,hendra virus disease,hendra virus infection,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Hendra virus disease',nan,nan
AV_POS_0064,Holotrichia (Protozoa),holotrichs,holotrichia (protozoa,holotrichs,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Holotrichia (Protozoa)',"Under current classification systems, Holotrichia is are considered as a historically recognized but currently not used order. Concept retained for legacy purposes. For the genus of beetle in the family Scarabaeidae, see ""Holotrichia (Coleoptera)"" <c_3644>.","Under current classification systems, Holotrichia is are considered as a historically recognized but currently not used order. Concept retained for legacy purposes. For the genus of beetle in the family Scarabaeidae, see ""Holotrichia (Coleoptera)"" <c_3644>."
AV_POS_0065,Hypena scabra,Plathypena scabra,hypena scabra,plathypena scabra,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Hypena scabra',nan,nan
AV_POS_0066,Lelystad virus,PRRS virus,lelystad virus,prrs virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Lelystad virus',nan,nan
AV_POS_0067,Lentivirus,Lentivirinae,lentivirus,lentivirinae,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Lentivirus',nan,nan
AV_POS_0068,Leporipoxvirus,Myxoma virus,leporipoxvirus,myxoma virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Leporipoxvirus',nan,nan
AV_POS_0069,Leporipoxvirus,Myxomatosis virus,leporipoxvirus,myxomatosis virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Leporipoxvirus',nan,nan
AV_POS_0070,Leporipoxvirus,rabbit fibroma virus,leporipoxvirus,rabbit fibroma virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Leporipoxvirus',nan,nan
AV_POS_0071,Myxoma virus,Myxomatosis virus,myxoma virus,myxomatosis virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Leporipoxvirus',nan,nan
AV_POS_0072,Myxoma virus,rabbit fibroma virus,myxoma virus,rabbit fibroma virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Leporipoxvirus',nan,nan
AV_POS_0073,Myxomatosis virus,rabbit fibroma virus,myxomatosis virus,rabbit fibroma virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Leporipoxvirus',nan,nan
AV_POS_0074,Lyssavirus,rabies-like viruses,lyssavirus,rabies-like viruses,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Lyssavirus',nan,nan
AV_POS_0075,Macrotyloma axillare,Dolichos axillaris,macrotyloma axillare,dolichos axillaris,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Macrotyloma axillare',nan,nan
AV_POS_0076,Macrotyloma uniflorum,Dolichos biflorus,macrotyloma uniflorum,dolichos biflorus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Macrotyloma uniflorum',nan,nan
AV_POS_0077,Macrotyloma uniflorum,Dolichos uniflorus,macrotyloma uniflorum,dolichos uniflorus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Macrotyloma uniflorum',nan,nan
AV_POS_0078,Dolichos biflorus,Dolichos uniflorus,dolichos biflorus,dolichos uniflorus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Macrotyloma uniflorum',nan,nan
AV_POS_0079,Marburg virus disease,Marburg haemorrhagic fever,marburg virus disease,marburg haemorrhagic fever,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Marburg virus disease',nan,nan
AV_POS_0080,Megachile rotundata,Megachile pacifica,megachile rotundata,megachile pacifica,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Megachile rotundata',nan,nan
AV_POS_0081,Middle East respiratory syndrome coronavirus,MERS‐CoV,middle east respiratory syndrome coronavirus,merscov,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Middle East respiratory syndrome coronavirus',nan,nan
AV_POS_0082,Mimosa scabrella,Mimosa bracatinga,mimosa scabrella,mimosa bracatinga,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Mimosa scabrella',nan,nan
AV_POS_0083,Nepovirus,nepovirus group,nepovirus,nepovirus group,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Nepovirus',nan,nan
AV_POS_0084,Neurotoma inconspicua,plum web spinning sawfly,neurotoma inconspicua,plum web spinning sawfly,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Neurotoma inconspicua',nan,nan
AV_POS_0085,Newcastle disease,fowl pest,newcastle disease,fowl pest,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Newcastle disease',nan,nan
AV_POS_0086,Newcastle disease virus,fowl pest virus,newcastle disease virus,fowl pest virus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Newcastle disease virus',nan,nan
AV_POS_0087,Nicotiana rustica,Nicotine tobacco,nicotiana rustica,nicotine tobacco,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Nicotiana rustica',nan,nan
AV_POS_0088,Nipah virus,Henipavirus nipahense,nipah virus,henipavirus nipahense,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Nipah virus',nan,nan
AV_POS_0089,Nipah virus,Nipah henipavirus,nipah virus,nipah henipavirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Nipah virus',nan,nan
AV_POS_0090,Henipavirus nipahense,Nipah henipavirus,henipavirus nipahense,nipah henipavirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Nipah virus',nan,nan
AV_POS_0091,Nipah virus disease,Nipah virus infection,nipah virus disease,nipah virus infection,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Nipah virus disease',nan,nan
AV_POS_0092,Norovirus,Norwalk-like viruses,norovirus,norwalk-like viruses,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Norovirus',nan,nan
AV_POS_0093,Norovirus,small round structured viruses,norovirus,small round structured viruses,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Norovirus',nan,nan
AV_POS_0094,Norwalk-like viruses,small round structured viruses,norwalk-like viruses,small round structured viruses,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Norovirus',nan,nan
AV_POS_0095,Nucleorhabdovirus,Plant Rhabdovirus Group B,nucleorhabdovirus,plant rhabdovirus group b,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Nucleorhabdovirus',nan,nan
AV_POS_0096,Orthobunyavirus,Bunyavirus,orthobunyavirus,bunyavirus,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Orthobunyavirus',nan,nan
AV_POS_0097,Panama disease,Fusarium wilt of banana,panama disease,fusarium wilt of banana,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Panama disease',"Panama disease (or Fusarium wilt) is a plant disease that infects banana plants (Musa spp.). It is a wilting disease caused by the fungus Fusarium oxysporum f. sp. cubense. The pathogen is resistant to fungicides, and its control is limited to phytosanitary measures. During the 1950s, an outbreak of",Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.
AV_POS_0098,Panama disease,Panama disease of banana,panama disease,panama disease of banana,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Panama disease',"Panama disease (or Fusarium wilt) is a plant disease that infects banana plants (Musa spp.). It is a wilting disease caused by the fungus Fusarium oxysporum f. sp. cubense. The pathogen is resistant to fungicides, and its control is limited to phytosanitary measures. During the 1950s, an outbreak of",nan
AV_POS_0099,Fusarium wilt of banana,Panama disease of banana,fusarium wilt of banana,panama disease of banana,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Panama disease',Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.,nan
AV_POS_0100,Pectobacterium carotovorum,Erwinia aroideae,pectobacterium carotovorum,erwinia aroideae,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Pectobacterium carotovorum',nan,nan
AV_POS_0101,Pectobacterium carotovorum,Erwinia carotovora,pectobacterium carotovorum,erwinia carotovora,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Pectobacterium carotovorum',nan,nan
AV_POS_0102,Erwinia aroideae,Erwinia carotovora,erwinia aroideae,erwinia carotovora,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Pectobacterium carotovorum',nan,nan
AV_POS_0103,Pectobacterium carotovorum subsp. atrosepticum,Erwinia atroseptica,pectobacterium carotovorum subsp. atrosepticum,erwinia atroseptica,Disease,1,agrovoc_sparql,1.0,AGROVOC synonyms of: 'Pectobacterium carotovorum subsp. atrosepticum',nan,nan
