pair_id,name_1,name_2,canonical_1,canonical_2,entity_type,label,pair_source,confidence,note
PV_POS_0001,Apple Scab,Apple Scab,apple scab,apple scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0002,Apple Scab,APPLE SCAB,apple scab,apple scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0003,Apple Scab,apple-scab,apple scab,apple-scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0004,Apple Scab,scab of apple,apple scab,scab of apple,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0005,Apple Scab,Venturia scab,apple scab,venturia scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0006,Apple Scab,apple scab disease,apple scab,apple scab disease,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0007,Apple Scab,APPLE SCAB,apple scab,apple scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0008,Apple Scab,apple-scab,apple scab,apple-scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0009,Apple Scab,scab of apple,apple scab,scab of apple,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0010,Apple Scab,Venturia scab,apple scab,venturia scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0011,Apple Scab,apple scab disease,apple scab,apple scab disease,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0012,APPLE SCAB,apple-scab,apple scab,apple-scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0013,APPLE SCAB,scab of apple,apple scab,scab of apple,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0014,APPLE SCAB,Venturia scab,apple scab,venturia scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0015,APPLE SCAB,apple scab disease,apple scab,apple scab disease,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0016,apple-scab,scab of apple,apple-scab,scab of apple,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
PV_POS_0017,apple-scab,Venturia scab,apple-scab,venturia scab,Disease,1,plantvillage_reference,1.0,Both refer to: 'apple scab'
